p,n,f,recovery,final solve,post-ortho,cs construct,pbmgs
6,12000,0,0.00011081,0,0.00010779024,5.6469192e-07,380.98402
6,12000,1,0.94997044,0,0.43977843,0.13737108,488.5267
6,12000,2,2.0176984,0,0.30451047,0.23940698,588.88324
6,12000,3,4.189646,0,0.25484791,0.38820417,689.63767
8,12000,0,9.2474394e-05,0,0.00012087787,5.8097066e-07,265.12376
8,12000,1,0.93168766,0,0.38933614,0.10153654,312.50844
8,12000,2,2.20829,0,0.32911325,0.20088024,353.22251
8,12000,3,3.5210925,0,0.28780098,0.28781849,397.46752
10,12000,0,0.00011560999,0,0.00011611357,5.8423728e-07,183.22819
10,12000,1,0.90058461,0,0.48462189,0.078862271,205.13681
10,12000,2,2.0084228,0,0.38839512,0.16247501,241.43284
10,12000,3,3.1178076,0,0.38290444,0.2083046,267.69214
12,12000,0,0.00011405858,0,0.00010439783,5.8559494e-07,144.17581
12,12000,1,0.77792508,0,0.52978159,0.055584937,163.94254
12,12000,2,1.6822832,0,0.4221314,0.11663647,177.56536
12,12000,3,2.6345445,0,0.35755935,0.15727818,203.02241
6,24000,0,0.00011384208,0,0.00011213414,5.8559494e-07,4918.0663
6,24000,1,4.4734591,0,2.0855995,0.57616731,6380.1965
6,24000,2,9.2777874,0,1.4840005,1.0511656,7551.7078
6,24000,3,17.491638,0,1.1360201,1.5865216,8660.2944
8,24000,0,9.1594993e-05,0,8.5924112e-05,5.6182034e-07,1772.912
8,24000,1,4.105212,0,1.8039246,0.407634,2084.2572
8,24000,2,9.1932748,0,1.3723758,0.80024712,2353.8197
8,24000,3,14.498816,0,1.1449137,1.1516917,2620.4257
10,24000,0,0.00011721343,0,9.5723458e-05,5.665049e-07,1710.2456
10,24000,1,3.9465031,0,1.9287676,0.32287697,1899.3154
10,24000,2,8.3057161,0,1.5851416,0.6493916,2132.3752
10,24000,3,12.713668,0,1.5366413,0.82608886,2365.4066
12,24000,0,0.0001094645,0,9.4859951e-05,5.7350068e-07,992.72926
12,24000,1,3.1881701,0,2.0694707,0.22311774,1104.7768
12,24000,2,6.9895924,0,1.6787487,0.4622894,1202.7033
12,24000,3,10.719799,0,1.3987449,0.64495613,1343.6044
6,36000,0,9.2573567e-05,0,0.00010654558,5.7483299e-07,19203.482
6,36000,1,10.370269,0,4.7374155,1.3426589,24559.084
6,36000,2,21.29519,0,3.4429763,2.4173185,28770.921
6,36000,3,39.619356,0,2.5681475,3.6217657,33037.012
8,36000,0,0.00010388059,0,9.0880843e-05,5.6735007e-07,5948.2058
8,36000,1,9.3445911,0,4.1395524,0.9299524,6889.5598
8,36000,2,20.773058,0,3.0814625,1.8091112,7777.0442
8,36000,3,32.771521,0,2.5941826,2.6122257,8671.0527
10,36000,0,0.00012568608,0,0.00010179542,5.9131533e-07,4326.9501
10,36000,1,8.891198,0,4.337456,0.72625337,4831.8023
10,36000,2,18.986317,0,3.5362918,1.4723758,5368.8862
10,36000,3,28.938122,0,3.4682303,1.8569555,6032.9755
12,36000,0,0.00013261887,0,0.00010161729,5.6313972e-07,2929.0024
12,36000,1,7.5310748,0,4.6676219,0.50649578,3295.2682
12,36000,2,15.787282,0,3.783434,1.0347497,3574.0727
12,36000,3,24.620002,0,3.171309,1.4481423,3960.813
6,48000,0,9.7373707e-05,0,9.7292268e-05,6.2202e-07,80090.429
6,48000,1,18.834636,0,8.5776091,2.4227824,107726.19
6,48000,2,38.382877,0,6.0951316,4.3926721,117485.72
6,48000,3,70.689713,0,4.8437881,6.4552858,137604.72
8,48000,0,9.7987067e-05,0,0.00010390871,7.4924901e-07,28683.041
8,48000,1,16.773657,0,7.4285068,1.6637329,33042.035
8,48000,2,37.300677,0,5.4761793,3.2164653,37775.908
